source,date,rating,title,text,record_type
google_play,2026-09-09,3,,"I've been using this app for two years. Everything's working fine, but its processing speed is very slow. Whenever I want to redeem money, it takes five days for the money to be credited. Reduce the redemption time from five days to two days.",public_review
google_play,2026-09-08,5,,"Cumulative investing is not easy to track when investors have multiple financial goals. It would be great if the app introduced goal-wise trackers with sub-divisions for goals like retirement, education, wealth creation, etc.",public_review
google_play,2026-08-18,2,,"Your app gets stuck far too often at the time of trade execution, and even after setting a profit/loss limit, the order does not get executed automatically.",public_review
google_play,2026-08-28,3,,"After the latest app update, the F&O page remains the initial landing page even though I do not use the F&O feature.",synthetic_redacted
google_play,2026-08-21,2,,Withdrawal showed completed but the bank credit was delayed for several days.,synthetic_redacted
google_play,2026-08-14,2,,Support kept closing my ticket without resolving the issue.,synthetic_redacted
google_play,2026-08-07,2,,The app becomes slow during market hours and order screens sometimes freeze.,synthetic_redacted
google_play,2026-07-31,2,,KYC verification keeps failing even after submitting the requested details.,synthetic_redacted
google_play,2026-07-24,3,,The new dashboard takes more taps to reach my holdings.,synthetic_redacted
google_play,2026-07-17,2,,Money was debited but did not appear in the account immediately.,synthetic_redacted
google_play,2026-07-10,2,,Customer support response took too long and the first reply did not solve the problem.,synthetic_redacted
google_play,2026-07-03,4,,"The app is generally good, but please add better goal-wise portfolio tracking.",synthetic_redacted
google_play,2026-06-26,2,,Order failed repeatedly while trying to exit a position.,synthetic_redacted
google_play,2026-06-19,2,,Withdrawal is taking longer than expected and there is no clear status update.,synthetic_redacted
google_play,2026-06-12,2,,I cannot complete KYC because the verification step keeps returning an error.,synthetic_redacted
google_play,2026-06-05,3,,Notifications and promotional messages are too frequent.,synthetic_redacted
google_play,2026-05-29,2,,The app crashes when opening the order page.,synthetic_redacted
google_play,2026-05-22,2,,Support asked me to repeat the same information across multiple tickets.,synthetic_redacted
google_play,2026-05-15,4,,Please make the portfolio dashboard easier to customize.,synthetic_redacted
google_play,2026-05-08,2,,A failed withdrawal needs a clearer explanation and faster retry.,synthetic_redacted
