id,publisher,doc_type,title,url,used_for,captured_on
S01,Groww Mutual Fund (AMC),Scheme page,Groww Large Cap Fund - Direct Growth (scheme page),https://www.growwmf.in/mutual-funds/groww-large-cap-fund-direct-growth,Groww Large Cap Fund - benchmark; Groww Large Cap Fund - category; Groww Large Cap Fund - exit load; Groww Large Cap Fund - minimum investment; Groww Large Cap Fund - riskometer,2026-09-03
S02,Groww Mutual Fund (AMC),Scheme page,Groww Value Fund - Direct Growth (scheme page),https://www.growwmf.in/mutual-funds/groww-value-discovery-fund-direct-growth,Groww Value Fund - riskometer,2026-09-03
S03,Groww Mutual Fund (AMC),Scheme page,Groww ELSS Tax Saver Fund - Direct Growth (scheme page),https://www.growwmf.in/mutual-funds/groww-elss-tax-saver-fund-direct-growth,Groww ELSS Tax Saver Fund - riskometer,2026-09-03
S04,Groww Mutual Fund (AMC),Scheme page,Groww Nifty Total Market Index Fund - Direct Growth (scheme page),https://www.growwmf.in/mutual-funds/groww-nifty-total-market-index-fund-direct-growth,Groww Nifty Total Market Index Fund - riskometer,2026-09-03
S05,Groww Mutual Fund (AMC),SID,Scheme Information Document - Groww Value Fund,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/SID_Groww%20Value%20Fund.pdf,Groww Value Fund - benchmark; Groww Value Fund - category; Groww Value Fund - exit load; Groww Value Fund - minimum investment,2026-09-03
S06,Groww Mutual Fund (AMC),SID,Scheme Information Document - Groww ELSS Tax Saver Fund,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/SID_Groww%20ELSS%20Tax%20Saver%20Fund.pdf,Groww ELSS Tax Saver Fund - benchmark; Groww ELSS Tax Saver Fund - exit load; Groww ELSS Tax Saver Fund - lock in; Groww ELSS Tax Saver Fund - minimum investment,2026-09-03
S07,Groww Mutual Fund (AMC),SID,Scheme Information Document - Groww Nifty Total Market Index Fund,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/SID_Groww%20Nifty%20Total%20Market%20Index%20Fund.pdf,Groww Nifty Total Market Index Fund - benchmark; Groww Nifty Total Market Index Fund - category; Groww Nifty Total Market Index Fund - exit load; Groww Nifty Total Market Index Fund - minimum investment,2026-09-03
S08,Groww Mutual Fund (AMC),KIM,Key Information Memorandum - Groww ELSS Tax Saver Fund,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/KIM_Groww%20ELSS%20Tax%20Saver%20Fund.pdf,Groww ELSS Tax Saver Fund - category,2026-09-03
S09,Groww Mutual Fund (AMC),Scheme Summary Document,Scheme Summary Document - Groww Value Fund,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SSD/Groww%20Value%20Fund/GrowwValueFundSSD.pdf,plans options,2026-09-03
S10,Groww Mutual Fund (AMC),Fee/charges disclosure,Expense Ratio (TER) disclosure - Groww Mutual Fund,https://www.growwmf.in/downloads/expense-ratio,expense ratio,2026-09-03
S11,Groww Mutual Fund (AMC),Document index,Downloads - Scheme Information Documents,https://www.growwmf.in/downloads/sid,no answer link; scheme documents,2026-09-03
S12,Groww Mutual Fund (AMC),Document index,Downloads - Monthly Factsheets,https://www.growwmf.in/downloads/fact-sheet,factsheet; performance refusal link,2026-09-03
S13,Groww Mutual Fund (AMC),Factsheet,Monthly Factsheet - April 2026,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/Fact%20Sheet/2026%20-%202027/Monthly%20Factsheet%20-%20April%202026.pdf,latest factsheet,2026-09-03
S14,Groww Mutual Fund (AMC),NAV disclosure,Latest NAV - Groww Mutual Fund,https://www.growwmf.in/nav,nav,2026-09-03
S15,Groww Mutual Fund (AMC),Statutory disclosure,Statutory Disclosures - Scheme portfolios,https://www.growwmf.in/statutory-disclosure/portfolio,portfolio disclosure,2026-09-03
S16,Groww (platform),Help / statement guide,How to download capital gain report (Groww Help),https://groww.in/help/mutual-funds/reports/how-to-download-capital-gain-report--50,capital gains statement,2026-09-03
S17,Groww (platform),Help / statement guide,Where can I get the tax proof for Section 80C? (Groww Help),https://groww.in/help/my-account/ma-others/where-can-i-get-the-tax-proof-for-section-80c,elss 80c proof,2026-09-03
S18,AMFI,Statement guide,Download Consolidated Account Statement (CAS),https://www.amfiindia.com/online-center/download-cas,cas statement,2026-09-03
S19,CAMS (SEBI-registered RTA),Statement guide,Consolidated Account Statement,https://www.camsonline.com/Investors/Statements/Consolidated-Account-Statement,cas rta,2026-09-03
S20,"CAMS + KFintech, in association with AMFI",Statement guide,MF Central - single window for mutual fund investors,https://www.mfcentral.com/,mf central; pii refusal link,2026-09-03
S21,SEBI Investor Website,Investor education,Understanding the Riskometer,https://investor.sebi.gov.in/riskometer.html,advice refusal link; riskometer meaning,2026-09-03
S22,SEBI,Circular,Circular on Product Labeling in Mutual Fund schemes - Risk-o-meter,https://www.sebi.gov.in/legal/circulars/oct-2020/circular-on-product-labeling-in-mutual-fund-schemes-risk-o-meter_47796.html,riskometer rules,2026-09-03
S23,SEBI Investor Website,Investor education,A Guide to ELSS (Equity Linked Savings Scheme),https://investor.sebi.gov.in/elss.html,elss general; elss refusal link,2026-09-03
S24,AMFI,Investor education,Expense Ratio - AMFI Knowledge Center,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=expenseRatio,expense ratio rules; fees refusal link,2026-09-03
S25,AMFI,Fee/charges disclosure,Total Expense Ratio (TER) of Mutual Fund Schemes,https://www.amfiindia.com/ter-of-mf-schemes,expense ratio all amcs,2026-09-03
